,Name,Height,Weight,Reach,Stance,DOB,Link
25,Jessica Aguilar,"5' 3""",115 lbs,"63""",Orthodox,"May 08, 1982",http://ufcstats.com/fighter-details/8f382b3baa954d2a
26,Kevin Aguilar,"5' 7""",155 lbs,"73""",Orthodox,"Sep 07, 1988",http://ufcstats.com/fighter-details/cf946e03ba2e7666
27,Jesus Aguilar,"5' 4""",125 lbs,"62""",Orthodox,"Mar 13, 1996",http://ufcstats.com/fighter-details/c051c2e12d692b8a
28,Christian Aguilera,"5' 9""",170 lbs,"72""",Switch,"Nov 25, 1991",http://ufcstats.com/fighter-details/ae071698e1a3ccd4
29,Nick Aguirre,"5' 9""",145 lbs,"74""",Southpaw,"Jan 15, 1996",http://ufcstats.com/fighter-details/0978385b2bd9ef9b
30,Mike Aina,"5' 9""",155 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
31,Ashiek Ajim,"5' 8""",135 lbs,"71""",Switch,"Jun 19, 1994",http://ufcstats.com/fighter-details/49dea784f6cfed71
32,Hitomi Akano,"5' 4""",135 lbs,--,Southpaw,"Jul 27, 1974",http://ufcstats.com/fighter-details/2eada40ac8801559
33,Omari Akhmedov,"6' 0""",185 lbs,"73""",Orthodox,"Oct 12, 1987",http://ufcstats.com/fighter-details/16690d100f995f8f
34,Yoshihiro Akiyama,"5' 10""",170 lbs,"75""",Orthodox,"Jul 29, 1975",http://ufcstats.com/fighter-details/b0550072e5f0afa7
35,Rostem Akman,"5' 10""",170 lbs,"72""",Switch,"Dec 19, 1991",http://ufcstats.com/fighter-details/1fc64507a0cb38cf
36,Razak Al-Hassan,"6' 2""",205 lbs,--,Orthodox,"May 14, 1982",http://ufcstats.com/fighter-details/38b50fd1e1b5b656
37,Abdul-Kareem Al-Selwady,--,155 lbs,--,,"Apr 10, 1995",http://ufcstats.com/fighter-details/597499ac7a5aac62
38,Mostapha Al-Turk,"6' 2""",245 lbs,"77""",Orthodox,"Jul 14, 1973",http://ufcstats.com/fighter-details/1cf1310684a841f5
39,Herdem Alacabek,"6' 2""",205 lbs,"75""",Orthodox,"Jun 07, 1991",http://ufcstats.com/fighter-details/7578cc6bd750206b
40,Javi Alanis,"5' 6""",135 lbs,--,,--,http://ufcstats.com/fighter-details/2144954270be834d
41,Alatengheili,"5' 5""",135 lbs,"66""",Orthodox,"Dec 14, 1991",http://ufcstats.com/fighter-details/1897b7b913736a7c
42,Amir Albazi,"5' 5""",125 lbs,"68""",Orthodox,"Oct 27, 1993",http://ufcstats.com/fighter-details/6d35bf94f7d30241
43,Brett Albee,--,225 lbs,--,,--,http://ufcstats.com/fighter-details/9b28292abe3166d5
44,John Albert,"5' 8""",135 lbs,"68""",Orthodox,"Oct 13, 1986",http://ufcstats.com/fighter-details/7bd94b60d7521e4a
45,Junior Albini,"6' 3""",264 lbs,"74""",Orthodox,"Mar 15, 1991",http://ufcstats.com/fighter-details/c482c8605455a213
46,Wes Albritton,"5' 10""",188 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/184b955181bdef52
47,Aleksandra Albu,"5' 2""",115 lbs,"63""",Orthodox,"Jul 14, 1990",http://ufcstats.com/fighter-details/e76d9f656ceb82ab
48,Israel Albuquerque,--,185 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/dd1b90eea08887f6
49,Juan Alcain,--,--,--,,--,http://ufcstats.com/fighter-details/39f62b833e4cf126
50,Iuri Alcantara,"5' 9""",135 lbs,"71""",Southpaw,"Aug 04, 1980",http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
51,Ildemar Alcantara,"6' 2""",185 lbs,"78""",Orthodox,"Nov 18, 1982",http://ufcstats.com/fighter-details/7c6e87729e824ef4
52,Alfonso Alcarez,"5' 3""",145 lbs,--,,"Jun 10, 1970",http://ufcstats.com/fighter-details/1e38bba6738b7b10
53,Gilbert Aldana,"6' 1""",250 lbs,--,Orthodox,"Aug 25, 1977",http://ufcstats.com/fighter-details/d26934530dc5b248
54,Irene Aldana,"5' 9""",135 lbs,"68""",Orthodox,"Mar 26, 1988",http://ufcstats.com/fighter-details/578ef12674df1e6a
55,Hector Aldana,"5' 11""",170 lbs,"72""",Orthodox,"Aug 17, 1988",http://ufcstats.com/fighter-details/c487223b0289bda9
56,Jose Alday,"5' 7""",135 lbs,"68""",Orthodox,"Sep 14, 1991",http://ufcstats.com/fighter-details/7460ddef986d3144
57,Jose Aldo,"5' 7""",135 lbs,"70""",Orthodox,"Sep 09, 1986",http://ufcstats.com/fighter-details/d0f3959b4a9747e6
58,JJ Aldrich,"5' 5""",125 lbs,"67""",Southpaw,"Sep 29, 1992",http://ufcstats.com/fighter-details/6fd953151d981979
59,Irina Alekseeva,"5' 8""",135 lbs,"67""",Orthodox,"Jun 27, 1990",http://ufcstats.com/fighter-details/103e2e33a60683e1
60,Talita Alencar,--,115 lbs,--,,"Oct 17, 1990",http://ufcstats.com/fighter-details/d35298b6df168456
61,Jim Alers,"5' 9""",145 lbs,"71""",Orthodox,"Oct 14, 1986",http://ufcstats.com/fighter-details/fe5a9547479396ab
62,John Alessio,"5' 10""",155 lbs,"72""",Orthodox,"Jul 05, 1979",http://ufcstats.com/fighter-details/7a15f3694c5cbc02
63,Houston Alexander,"6' 0""",205 lbs,"72""",Orthodox,"Mar 22, 1972",http://ufcstats.com/fighter-details/0541480fbf719d86
64,Kenneth Alexander,"5' 9""",155 lbs,--,Orthodox,"Sep 25, 1977",http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
65,Lucas Alexander,"5' 11""",145 lbs,"73""",Orthodox,"Jul 28, 1995",http://ufcstats.com/fighter-details/11583163f45c7b31
66,Marcio Alexandre Junior,"6' 0""",185 lbs,"75""",Southpaw,"May 05, 1989",http://ufcstats.com/fighter-details/d53482bef23235ba
67,Olaf Alfonso,"6' 2""",170 lbs,--,Orthodox,"Aug 06, 1974",http://ufcstats.com/fighter-details/b757c73f443d4fca
68,Pablo Alfonso,"5' 8""",145 lbs,--,,"May 09, 1983",http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
69,Levi Alford,--,--,--,,--,http://ufcstats.com/fighter-details/41b34b7f11f6d085
70,Bill Algeo,"6' 0""",145 lbs,"73""",Switch,"Jun 09, 1989",http://ufcstats.com/fighter-details/9abc648e76c4493a
71,Royce Alger,"5' 10""",199 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/669a3cb6e394f515
72,Amir Aliakbari,"6' 3""",250 lbs,--,,"Jun 10, 1984",http://ufcstats.com/fighter-details/e17770faae3ca54c
73,Sultan Aliev,"5' 11""",170 lbs,"74""",Orthodox,"Sep 17, 1984",http://ufcstats.com/fighter-details/e70de1859b7ee78e
74,Nurullo Aliev,"5' 10""",155 lbs,"72""",Orthodox,"Dec 08, 2000",http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
75,Ikram Aliskerov,"6' 0""",185 lbs,"76""",Southpaw,"Dec 07, 1992",http://ufcstats.com/fighter-details/b07aed698fba8624
76,Leon Aliu,"6' 0""",185 lbs,"74""",Orthodox,"Jul 14, 1989",http://ufcstats.com/fighter-details/6db394bf6c3b017c
77,John Allan,"6' 1""",205 lbs,"75""",Orthodox,"Feb 22, 1993",http://ufcstats.com/fighter-details/6ebe96a116e79e52
78,George Allen,"6' 2""",205 lbs,--,Open Stance,"Jan 13, 1967",http://ufcstats.com/fighter-details/1e13936d708bcff7
79,Arnold Allen,"5' 8""",145 lbs,"70""",Southpaw,"Jan 22, 1994",http://ufcstats.com/fighter-details/040a74bb0a465c54
80,Brendan Allen,"6' 2""",185 lbs,"75""",Orthodox,"Dec 28, 1995",http://ufcstats.com/fighter-details/2f181c0467965b98
81,Ben Alloway,"5' 11""",170 lbs,"76""",Orthodox,"Feb 19, 1981",http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
82,Assu Almabayev,--,125 lbs,--,,"Jan 25, 1994",http://ufcstats.com/fighter-details/8d3273573b85be09
83,Ricardo Almeida,"6' 0""",170 lbs,"74""",Orthodox,"Nov 29, 1976",http://ufcstats.com/fighter-details/91186547a7f3f758
84,Magno Almeida,"6' 0""",155 lbs,--,,"Jun 06, 1985",http://ufcstats.com/fighter-details/d615d6a10a4704cd
85,Thomas Almeida,"5' 7""",145 lbs,"70""",Southpaw,"Jul 31, 1991",http://ufcstats.com/fighter-details/2b074403b7c6cdb4
86,Ericka Almeida,"5' 6""",115 lbs,--,Orthodox,"Mar 05, 1989",http://ufcstats.com/fighter-details/67a992d4cff22466
87,Estefani Almeida,"5' 4""",125 lbs,--,Orthodox,"Oct 17, 1988",http://ufcstats.com/fighter-details/f16ddfa31236efed
88,Jailton Almeida,"6' 3""",205 lbs,"79""",Orthodox,"Jun 26, 1991",http://ufcstats.com/fighter-details/41e83a89929d1327
89,Lucas Almeida,"5' 11""",145 lbs,"71""",Orthodox,"Jan 31, 1991",http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
90,Cesar Almeida,--,185 lbs,--,,"Mar 23, 1988",http://ufcstats.com/fighter-details/64d47ef881a437a4
91,Mauricio Alonso,"6' 2""",170 lbs,--,,"Feb 27, 1980",http://ufcstats.com/fighter-details/c6bf75775b278ed8
92,Sarah Alpar,"5' 4""",135 lbs,"63""",Southpaw,"Jun 01, 1991",http://ufcstats.com/fighter-details/49b130de1da2e1bf
93,Ali AlQaisi,"5' 6""",135 lbs,"68""",Orthodox,"Sep 23, 1990",http://ufcstats.com/fighter-details/e87a13e02c01331d
94,Rico Altamirano,"5' 10""",170 lbs,--,,--,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
95,Victor Altamirano,"5' 8""",125 lbs,"70""",Switch,"Jan 23, 1991",http://ufcstats.com/fighter-details/dc7927cd622676a7
96,Mike Altman,"5' 10""",185 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/c11036da9162cb5f
97,Patricia Alujas,--,115 lbs,--,,--,http://ufcstats.com/fighter-details/430c533614d45813
98,Sean Alvarez,"6' 0""",235 lbs,--,Orthodox,"Jul 14, 1971",http://ufcstats.com/fighter-details/e741536153227386
99,Eddie Alvarez,"5' 9""",155 lbs,"69""",Orthodox,"Jan 11, 1984",http://ufcstats.com/fighter-details/33a331684283900f
100,Jaime Alvarez,"5' 8""",125 lbs,"69""",Orthodox,"Mar 08, 1988",http://ufcstats.com/fighter-details/4438482bd1d5a029
101,Joel Alvarez,"6' 3""",155 lbs,"77""",Orthodox,"Mar 02, 1993",http://ufcstats.com/fighter-details/58bbef3770bb2dfc
102,Thiago Alves,"5' 9""",170 lbs,"70""",Orthodox,"Oct 03, 1983",http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
103,Anthony Alves,--,--,--,,--,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
104,Amilcar Alves,"6' 0""",170 lbs,--,Southpaw,"Aug 08, 1988",http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
105,Warlley Alves,"5' 11""",170 lbs,"72""",Orthodox,"Jan 04, 1991",http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
106,Rafael Alves,"5' 8""",155 lbs,"68""",Orthodox,"Nov 14, 1990",http://ufcstats.com/fighter-details/029afd138865d20a
107,Sam Alvey,"6' 2""",185 lbs,"75""",Southpaw,"May 06, 1986",http://ufcstats.com/fighter-details/d156513a19acf856
108,Andre Amado,"6' 0""",154 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/20821819c401ced8
109,Adlan Amagov,"6' 2""",170 lbs,"76""",Orthodox,"Oct 30, 1986",http://ufcstats.com/fighter-details/1e327b281ef6a745
110,Maiara Amanajas dos Santos,"5' 5""",115 lbs,--,Southpaw,"Jul 11, 1987",http://ufcstats.com/fighter-details/247fbbfafea60bb1
111,Rayanne Amanda,"5' 2""",115 lbs,"62""",Orthodox,"Jun 08, 1995",http://ufcstats.com/fighter-details/02bb48869eb7ac8f
112,Chris Amarante,--,185 lbs,--,,--,http://ufcstats.com/fighter-details/ee0b69e307c857e5
113,Jimmy Ambriz,"6' 2""",315 lbs,--,Southpaw,"Jan 26, 1970",http://ufcstats.com/fighter-details/c912f676692c353a
114,JJ Ambrose,"5' 10""",170 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/d562b12b8fe88336
115,Alen Amedovski,"5' 10""",185 lbs,"74""",Orthodox,"Apr 06, 1988",http://ufcstats.com/fighter-details/70fa1c64a2c439ef
116,Hyder Amil,--,145 lbs,--,,"May 28, 1990",http://ufcstats.com/fighter-details/41cc71cbf210e0fe
117,Makwan Amirkhani,"5' 10""",145 lbs,"72""",Southpaw,"Nov 08, 1988",http://ufcstats.com/fighter-details/87a1dc546b1c5caf
118,Jaqueline Amorim,"5' 3""",115 lbs,"68""",Orthodox,"Jun 24, 1995",http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
119,Bertrand Amoussou,"5' 8""",190 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/53adf5b845d91e4a
120,Karl Amoussou,"5' 11""",185 lbs,--,Orthodox,"Nov 21, 1985",http://ufcstats.com/fighter-details/23a8c33869bf5392
121,Eryk Anders,"6' 1""",185 lbs,"75""",Southpaw,"Apr 21, 1987",http://ufcstats.com/fighter-details/cad24459b28592ca
122,Matt Andersen,"6' 2""",230 lbs,--,Southpaw,"May 29, 1971",http://ufcstats.com/fighter-details/8738eacd62e82a32
123,Andy Anderson,"5' 6""",240 lbs,--,,"Jul 16, 1974",http://ufcstats.com/fighter-details/9199e0735b83dd32
124,Lowell Anderson,"5' 6""",160 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/1ffc38f67785797b
125,Corey Anderson,"6' 3""",205 lbs,"79""",Orthodox,"Sep 22, 1989",http://ufcstats.com/fighter-details/5e4eec08896c9423
126,Derek Anderson,"6' 0""",155 lbs,--,,"Feb 02, 1990",http://ufcstats.com/fighter-details/19ba965651486013
127,Megan Anderson,"6' 0""",145 lbs,"72""",Orthodox,"Feb 11, 1990",http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
128,Tatsuya Ando,--,135 lbs,--,,"Apr 26, 1990",http://ufcstats.com/fighter-details/17615148dd4be6f6
129,Alex Andrade,"5' 11""",200 lbs,--,Orthodox,"May 14, 1974",http://ufcstats.com/fighter-details/1562b12763cc8d67
130,Jessica Andrade,"5' 1""",115 lbs,"62""",Orthodox,"Sep 25, 1991",http://ufcstats.com/fighter-details/6a1901c62ab3870f
131,Viscardi Andrade,"5' 11""",170 lbs,"75""",Orthodox,"Mar 08, 1984",http://ufcstats.com/fighter-details/d221ee27afc7a60e
132,Jermaine Andre,"5' 7""",200 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/9bad58fa651d6196
133,Juan Andres Luna,"5' 7""",125 lbs,"72""",Orthodox,"Aug 20, 1995",http://ufcstats.com/fighter-details/1fd9f744105024a8
134,Fellipe Andrew,--,--,--,,"Oct 24, 1994",http://ufcstats.com/fighter-details/7977fb0fd9c5955d
135,Dylan Andrews,"6' 1""",185 lbs,"74""",Switch,"Nov 15, 1979",http://ufcstats.com/fighter-details/00debc804e2b1cd4
136,Reese Andy,"6' 0""",205 lbs,--,Orthodox,"Mar 31, 1973",http://ufcstats.com/fighter-details/46e2ca71fd5089cb
137,Angga,"5' 7""",145 lbs,"68""",Orthodox,"Jan 13, 1989",http://ufcstats.com/fighter-details/d6a3e131ad4ba064
138,Julius Anglickas,"6' 3""",205 lbs,--,Orthodox,"Jul 23, 1991",http://ufcstats.com/fighter-details/e20ad078a7d63361
139,Collin Anglin,"5' 9""",145 lbs,"71""",Orthodox,"Feb 20, 1993",http://ufcstats.com/fighter-details/047a91d3d9c79b05
140,Chad Anheliger,"5' 6""",135 lbs,"64""",Orthodox,"Dec 01, 1986",http://ufcstats.com/fighter-details/c7c39e2fb70248b3
141,Yoji Anjo,"5' 11""",205 lbs,--,Orthodox,"Mar 28, 1967",http://ufcstats.com/fighter-details/e06fd1260ac865a7
142,Magomed Ankalaev,"6' 3""",205 lbs,"75""",Orthodox,"Jun 02, 1992",http://ufcstats.com/fighter-details/d802174b0c0c1f4e
143,Gadzhimurad Antigulov,"5' 11""",205 lbs,"70""",Orthodox,"Feb 09, 1987",http://ufcstats.com/fighter-details/af997f7611673880
144,Adam Antolin,"5' 5""",125 lbs,"63""",Orthodox,"Feb 28, 1982",http://ufcstats.com/fighter-details/25b31165758402dd
145,Angelo Antonio,--,205 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/dbd198f780286aca
146,Azunna Anyanwu,"6' 1""",251 lbs,--,Orthodox,"Aug 05, 1981",http://ufcstats.com/fighter-details/78d48d3874dacafd
147,Shinsho Anzai,"5' 7""",170 lbs,"70""",Orthodox,"Dec 01, 1985",http://ufcstats.com/fighter-details/4665f9f909cd7214
148,Shinya Aoki,"5' 11""",154 lbs,--,Southpaw,"May 09, 1983",http://ufcstats.com/fighter-details/79ded75550efc139
149,Aoriqileng,"5' 7""",135 lbs,"69""",Orthodox,"Jun 25, 1993",http://ufcstats.com/fighter-details/7d420039bbfe7c1a
150,Josh Appelt,"5' 10""",255 lbs,--,Southpaw,"Jun 19, 1983",http://ufcstats.com/fighter-details/0c1a04afca64e38f
151,Erik Apple,"6' 0""",170 lbs,--,Orthodox,"Aug 26, 1977",http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
152,Kenji Arai,"5' 10""",145 lbs,--,Southpaw,"Oct 05, 1979",http://ufcstats.com/fighter-details/269d103c96a4c3a5
153,Romie Aram,"5' 10""",170 lbs,--,Orthodox,"Dec 02, 1977",http://ufcstats.com/fighter-details/73ef22f25d0f70e2
154,Felipe Arantes,"5' 8""",135 lbs,"73""",Orthodox,"Feb 09, 1988",http://ufcstats.com/fighter-details/71002dbc1743b9a7
155,Igor Araujo,"6' 1""",170 lbs,"77""",Orthodox,"Dec 06, 1980",http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
156,Viviane Araujo,"5' 4""",125 lbs,"68""",Orthodox,"Nov 21, 1986",http://ufcstats.com/fighter-details/36541f1e6c5d4955
157,Julio Arce,"5' 7""",135 lbs,"70""",Southpaw,"Oct 27, 1989",http://ufcstats.com/fighter-details/1291edf2d566a71a
158,Art Arciniega,"5' 8""",145 lbs,--,,"Oct 15, 1981",http://ufcstats.com/fighter-details/d25e39e74efb0a77
159,Tristan Arenal,--,155 lbs,--,,--,http://ufcstats.com/fighter-details/9c9455912d917e4e
160,Gabriel Arges,--,170 lbs,--,,"Jan 29, 1993",http://ufcstats.com/fighter-details/db3c4a884d704efe
161,Dan Argueta,"5' 7""",135 lbs,"68""",Southpaw,"Aug 13, 1993",http://ufcstats.com/fighter-details/e4ba58725825412d
162,Reza Arianto,--,155 lbs,--,,--,http://ufcstats.com/fighter-details/90063913321e7670
163,Hashem Arkhagha,"6' 2""",185 lbs,"75""",Orthodox,"Sep 11, 1989",http://ufcstats.com/fighter-details/9a7ffa80766caa51
164,Andrei Arlovski,"6' 3""",240 lbs,"77""",Orthodox,"Feb 04, 1979",http://ufcstats.com/fighter-details/3738e68d2261e60f
165,Garrett Armfield,"5' 6""",135 lbs,"70""",Orthodox,"Oct 09, 1996",http://ufcstats.com/fighter-details/1effd880e1f1bb30
166,Joey Armstrong,--,--,--,,--,http://ufcstats.com/fighter-details/30ad2050273d016a
167,Austin Arnett,"6' 0""",145 lbs,"72""",Orthodox,"Oct 22, 1991",http://ufcstats.com/fighter-details/bf0e700106d00e55
168,Ricardo Arona,"5' 11""",205 lbs,--,Orthodox,"Jul 17, 1978",http://ufcstats.com/fighter-details/05fbfe628658c538
169,Eli Aronov,--,185 lbs,--,,"Jun 06, 1996",http://ufcstats.com/fighter-details/a90c200c3fbb22c4
170,Chalid Arrab,"5' 11""",205 lbs,--,Orthodox,"May 28, 1975",http://ufcstats.com/fighter-details/770b9d4813c25902
171,Akbarh Arreola,"5' 10""",155 lbs,"71""",Southpaw,"Jan 14, 1983",http://ufcstats.com/fighter-details/c136b2a8852da5bd
172,Matt Arroyo,"5' 10""",170 lbs,"72""",Orthodox,"Sep 01, 1982",http://ufcstats.com/fighter-details/de62052b2ede65ba
173,Antonio Arroyo,"6' 3""",185 lbs,"73""",Orthodox,"Jul 01, 1989",http://ufcstats.com/fighter-details/61fb8098ccf81c7f
174,Gilles Arsene,"5' 9""",190 lbs,--,Southpaw,--,http://ufcstats.com/fighter-details/2dea80c069847321
175,Veta Arteaga,"5' 7""",125 lbs,--,,--,http://ufcstats.com/fighter-details/91e3388e69060e69
176,Cesar Arzamendia,"5' 11""",155 lbs,--,Orthodox,"Jan 31, 1991",http://ufcstats.com/fighter-details/49f78022126bf4a4
177,Teddy Ash,"6' 1""",185 lbs,"73""",Switch,"Dec 27, 1989",http://ufcstats.com/fighter-details/a373085066dbfb54
178,Arman Ashimov,"5' 6""",125 lbs,--,,"Jan 14, 1992",http://ufcstats.com/fighter-details/d26a0988c9dc9886
179,Yanal Ashmouz,"5' 9""",155 lbs,"68""",Orthodox,"Mar 31, 1995",http://ufcstats.com/fighter-details/c739c2995a275314
180,Asjabharan,"5' 6""",135 lbs,--,,"Jul 31, 1992",http://ufcstats.com/fighter-details/8be9deb7d6b36354
181,Askar Askar,"5' 7""",145 lbs,"69""",Orthodox,"Aug 19, 1994",http://ufcstats.com/fighter-details/2abc414136504554
182,Askar Askarov,"5' 6""",125 lbs,"67""",Orthodox,"Oct 09, 1992",http://ufcstats.com/fighter-details/b1d19449397541dc
183,Cyril Asker,"6' 0""",247 lbs,"74""",Orthodox,"Dec 24, 1985",http://ufcstats.com/fighter-details/9be6020024133293
184,Khusein Askhabov,"5' 8""",145 lbs,"69""",Orthodox,"Feb 13, 1995",http://ufcstats.com/fighter-details/5c10da56d712ac9c
185,Scott Askham,"6' 3""",185 lbs,"75""",Southpaw,"May 20, 1988",http://ufcstats.com/fighter-details/06827d70c53ff0d9
186,Ben Askren,"5' 11""",170 lbs,"73""",Orthodox,"Jul 18, 1984",http://ufcstats.com/fighter-details/0b31f87be71ebbb1
187,Ibo Aslan,"6' 3""",205 lbs,--,,"Apr 23, 1996",http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
188,Tom Aspinall,"6' 5""",256 lbs,"78""",Orthodox,"Apr 11, 1993",http://ufcstats.com/fighter-details/399afbabc02376b5
189,Bruno Assis,"6' 2""",185 lbs,--,Orthodox,"May 23, 1992",http://ufcstats.com/fighter-details/ff222167cce02919
190,Junior Assuncao,"5' 9""",145 lbs,"72""",Orthodox,"Jun 24, 1981",http://ufcstats.com/fighter-details/d0d7160824278840
191,Raphael Assuncao,"5' 5""",135 lbs,"66""",Orthodox,"Jul 19, 1982",http://ufcstats.com/fighter-details/2f13e4020cea5b38
192,Bazigit Atajev,"6' 1""",230 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95
193,Rich Attonito,"5' 10""",170 lbs,"72""",Orthodox,"Jun 16, 1977",http://ufcstats.com/fighter-details/210935fd21670f6d
194,Olivier Aubin-Mercier,"5' 9""",155 lbs,"70""",Southpaw,"Feb 23, 1989",http://ufcstats.com/fighter-details/55ee431411ccf07a
195,Pat Audinwood,"6' 0""",155 lbs,--,Orthodox,"Apr 16, 1986",http://ufcstats.com/fighter-details/196ed28337adc630
196,Jose Augusto,"6' 3""",251 lbs,--,,"Mar 28, 1992",http://ufcstats.com/fighter-details/4d3b08ab127c7585
197,Marcus Aurelio,"5' 10""",155 lbs,"74""",Orthodox,"Aug 18, 1973",http://ufcstats.com/fighter-details/04643fd03d9159cc
198,David Avellan,"5' 9""",185 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/956dcac65e7b34d6
199,Blas Avena,"6' 0""",170 lbs,"74""",Orthodox,"Jun 30, 1983",http://ufcstats.com/fighter-details/8753e125f4499816
200,Levi Avera,"6' 1""",170 lbs,--,,"May 17, 1982",http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
201,Anthony Avila,"5' 7""",145 lbs,--,,"Dec 29, 1988",http://ufcstats.com/fighter-details/033d19259f589457
202,Chris Avila,"5' 10""",145 lbs,--,Orthodox,"Jan 16, 1993",http://ufcstats.com/fighter-details/4665cbf36b08193b
203,Julia Avila,"5' 7""",135 lbs,"68""",Orthodox,"May 11, 1988",http://ufcstats.com/fighter-details/86d9dbe1bfcbade7
